Text,CB_Label
damn there is someones nana up here at beach with one. dont think ic an steal and get to you quickly tho ;(,0
no kidding! dick clark was a corpse mechanically operated by the advertising companies,1
i read an article on jobros and thought damn we should cash in on our jobro pokemon. Perfect stocking stuffers haha,0
"I got one fucking day of sprinkles and now it's back to sunshine and douchebaggery.""",0
I was already listening to Elliott smith  and I fucking hate kanye west. He's not a valid artist or human in my eyes,0
I told Derek to go fuck himself  Devyn told us to calm down,0
I'm watching the new Smosh video and laughing my ass off.,0
My mom didn't like Catholicism because the idea of being a sinner from birth irked her  and she loves gay people  so yeah.,0
ya i know! lol AND big thunder mountain broke down! i only got 2 ride it once! i got a ton of bad luck. i think u stole it! bitch!,0
"lucky bitch.....""",0
hate the auto DMs  there's no better way to show that you don't actually care about your followers than to put it on autopilot,0
Top Notch click!  DONT HATE hater!  u mad cuz u broke  using a playstation as a cd player.,0
question  where the fuck is my father!? he has been MIA for like two days!,0
Fair enough  will get my ass around to doing it sometime later. Your voice has changed  btw :P,0
yeah that seems like he got some bitch in him somewhere or he could be brainwashed. I got a forum right now thats going in on BEY,0
See it too A friend of mine uses acai berry but for medical purposes. {shrugs} Damn @ her being hella skinny. I may try... Maybe,0
How can you hate Hugh Laurie!?,0
... First thing I would do is go to the bathroom because I most likely piss myself.,0
Um... I hate birds. Bleech!,0
Yes. Take the damn pickles. I'm glad we've been talking virtually every possible moment. I have a feeling it will ciontinue.,0
mmm nice. problem is - i hate reading blogs in hebrew. i can read them but it takes me longer and i have ADD,0
awww. cum playz. we makin finger paintz on da wallz kinda.,0
I seriously hate insects/bugs of all kinds :( even ants... wish there was some... anti-bug thing I could stick at my door and -,0
but yeah it sucks Bl there's 25 maps and wanting to get on a specific one takes forever if you're unlucky. orz.,0
Haha  that's a long-ass tail!,0
When was the first ICS? Was Emo Jesus created yet? was prior to March 22  2007 (1st live tattoo show),0
 you whore!,1
awe man that sucks... I mean that's awesome!!,0
only if you promise to not make me look emo or like a raccoon ;},0
"""Anoel\xa0\xa0 -\xa0\xa0 Gotta go do ""real"" work but I still want an anoellment from ya.\xa0 You are a waste of humanity\xa0.\xa0 :-(""",1
"""I never said I was smart. In fact I'm a complete moron. Which goes to show just how stupid you are. CBS, NBC, and fox sell advertising TIME. The billboard owner sells advertising SPACE. All sold to the advertisers that want to sell you their crap.""",1
"""Hey, Jimmy: go fuck yourself.""",1
"""@pc_tool\n\nThe difference is that I don't go around trash talking in android articles!!!!\n\nAre you that fukn stoopid!!!??????\n\nI never read android shit....  Damn ur such a fukn idiot!!!\n\nYour idiocy has literally upset me!!!!\n\nHow can a human be that fukn stoopid??????""",1
"""still spewing your ignorance i see...........phuk off jack a $ $ !!!!!!!!!!!!!!!!!!!!!""",1
"""Rightasshole. That\\'s why all those people were ki//ed. Because of your ""calming"" effect. P i ss on obama.""",1
"""Asta luego ayi deje unas hijas de puta radrando como perras qu\xe9 son a chingar su madres y clone m\xe9tete un balazo puto no tienes vida. Saludos desde Texas fuck you hating ass fags 18 wheeler driver out here!!!!!""",1
"""Hey moron ""JOBS_ONE"", the Hispanics already know that this doesn't provide a pathway to citizenship. \n\n\n\nHow long do you think it's going to take for you to figure that out???""",1
"""Please ZuluShaka shut the eff up before you embarrass yourself further. If you can't do it for yourself do it for the kids you may have now or some time in the future who would disown you if they found out you are this dumb. Please shut up for your own parents who would hang themselves in shame if they knew they spawned such idiocy. Shut up for your spouse who may not live with the ridicule if het friends found out she married a lunatic. And please shut up for the teachers wavakarova nerekeni uchitiza chikoro. Please shut up.... log off the internet and go into an asylum""",1
"""...you son of a bitch.\n\n\n\nYOU SON OF A BITCH!""",1
"""Wow!  Are you the posterboy for ignorance run rampant?  Try a spell checker.  I don't know what you can do about your syntax, except go back to school.""",1
"""He's an idiot""",1
"""You are a drone  -  Go back to your complaining and hating - dung beetle.""",1
"""And you're a fag, just like yo daddy.""",1
"""Jesus Terry, stop going on about how much you earn and your mythical fucking payrise...\n\nWe get it, you're a cunt, now please be quiet.""",1
"""just reading back over you old comments and i am finding it very hard to find even ONE where your not being a total prick to people.\nYOU ANGRY OLD MAN!!\n\n\n""RJ sadler has another account as DOC MADDEN"" he's also nearly 50yrs old so be careful kids.""",1
"""\\xc2\\xa0Now when you jerk off to his picture, you don't have to worry about doing prison time.""",1
"""You sir, are an idiot!""",1
"""Ol girl in the purple would get it with her fat ass, lookin at her wooble that ass made my dick hard. I'm jus sayin...""",1
"""He'd find an @$$ clown like you if he did.""",1
"""Damn you get stupider every day.  Poor guy.  =(""",1
"""It only takes seconds for you because you aren't a hot piece of ass that some ghoulish gloved TSA freak would like to molest.You're such a fucking cunt-brained witless piece of worm puke.\\xc2\\xa0""",1
"""that bitch nipples was sharper than a sharpie, them shits was pointy af""",1
"""@nealcity \xa0Are you employed?\xa0 By whom?\xa0 You're talents are wasted at whatever you do, I'm sure of it.\xa0\xa0 lulz""",1
"""Pfuck you, Media Matters troll.""",1
"""Nice attitude, you disgusting bigot.""",1
"""And what b l\xa0 a c k ( ock just slapped your fat a--, Cowgirl\xa0 ?""",1
"""Doubtful. I am 5'11'' 175 and very well trained.\\nYou are merely a pathetic c0ward""",1
"""Where you see anaything I said about reppin base anything? bitch ass nigga""",1
